sample	processed	pseudoaligned	rate_percent	kallisto_version
BB-264	153593502	97268543	63.328553443621594	0.51.1
BB-266	145546938	97455658	66.95823308903964	0.51.1
BB-269	152841697	95848414	62.71090669714299	0.51.1
BB-270	149247232	97545724	65.35848115427694	0.51.1
BB-273	148613209	90605732	60.96748237231052	0.51.1
BB-278	149408651	97206696	65.06095553998409	0.51.1
BB-279	145959047	93494192	64.05508525963451	0.51.1
CW-2	135532301	85868157	63.35623048265078	0.51.1
CW-25	156164543	102644408	65.72836959539529	0.51.1
CW-32	152156356	103083326	67.74828782045753	0.51.1
CW-33	180974131	122855399	67.88561344162498	0.51.1
CW-38	147403582	103326377	70.09760251280733	0.51.1
CW-41	168236046	107238464	63.7428580555204	0.51.1
CW-43	181328921	117132342	64.59661335546137	0.51.1
CW-7	189010581	131265186	69.44859134632256	0.51.1
